,contract_type_id,payment_type_id,internet_service_type_id,customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,internet_service_type,payment_type,contract_type
20,2,1,3,0023-UYUPN,Female,1,Yes,No,50,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.2,1306.3,No,None,Electronic check,One year
21,1,1,2,0023-XUOPT,Female,0,Yes,No,13,Yes,Yes,No,Yes,Yes,No,Yes,No,No,94.1,1215.6,Yes,Fiber optic,Electronic check,Month-to-month
22,1,1,2,0027-KWYKW,Female,0,Yes,Yes,23,Yes,Yes,No,No,No,No,Yes,No,Yes,83.75,1849.95,No,Fiber optic,Electronic check,Month-to-month
23,1,2,3,0030-FNXPP,Female,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.85,57.2,No,None,Mailed check,Month-to-month
24,1,2,3,0031-PVLZI,Female,0,Yes,Yes,4,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.35,76.35,Yes,None,Mailed check,Month-to-month
25,1,3,1,0032-PGELS,Female,0,Yes,Yes,1,No,No phone service,Yes,No,No,No,No,No,No,30.5,30.5,Yes,DSL,Bank transfer (automatic),Month-to-month
26,2,3,2,0036-IHMOT,Female,0,Yes,Yes,55,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,103.7,5656.75,No,Fiber optic,Bank transfer (automatic),One year
27,3,4,3,0040-HALCW,Male,0,Yes,Yes,54,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.4,1090.6,No,None,Credit card (automatic),Two year
28,2,3,3,0042-JVWOJ,Male,0,No,No,26,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.6,471.85,No,None,Bank transfer (automatic),One year
29,3,3,3,0042-RLHYP,Female,0,Yes,Yes,69,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.7,1396.9,No,None,Bank transfer (automatic),Two year
30,2,4,2,0048-LUMLS,Male,0,Yes,Yes,37,Yes,No,No,No,No,No,Yes,Yes,No,91.2,3247.55,No,Fiber optic,Credit card (automatic),One year
31,2,3,3,0048-PIHNL,Female,0,Yes,No,49,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.45,900.9,No,None,Bank transfer (automatic),One year
32,2,3,2,0052-DCKON,Male,0,Yes,No,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,115.8,7942.15,No,Fiber optic,Bank transfer (automatic),One year
33,2,1,3,0052-YNYOT,Female,0,No,No,67,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.55,1343.4,No,None,Electronic check,One year
34,3,4,1,0056-EPFBG,Male,0,Yes,Yes,20,No,No phone service,Yes,No,Yes,Yes,No,No,Yes,39.4,825.4,No,DSL,Credit card (automatic),Two year
35,3,1,3,0057-QBUQH,Female,0,No,Yes,43,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,25.1,1070.15,No,None,Electronic check,Two year
36,1,3,2,0058-EVZWM,Female,0,Yes,No,55,Yes,Yes,Yes,No,No,No,Yes,No,Yes,89.8,4959.6,No,Fiber optic,Bank transfer (automatic),Month-to-month
37,1,1,2,0060-FUALY,Female,0,Yes,No,59,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,94.75,5597.65,No,Fiber optic,Electronic check,Month-to-month
38,3,3,3,0064-SUDOG,Female,0,Yes,Yes,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.3,224.5,No,None,Bank transfer (automatic),Two year
39,1,3,2,0064-YIJGF,Male,0,Yes,Yes,27,Yes,Yes,No,No,No,No,No,No,Yes,75.75,1929,No,Fiber optic,Bank transfer (automatic),Month-to-month
40,1,1,1,0067-DKWBL,Male,1,No,No,2,Yes,No,Yes,No,No,No,No,No,Yes,49.25,91.1,Yes,DSL,Electronic check,Month-to-month
41,2,2,1,0068-FIGTF,Female,0,No,No,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,78.2,2078.95,No,DSL,Mailed check,One year
42,3,4,3,0071-NDAFP,Male,0,Yes,Yes,25,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.5,630.6,No,None,Credit card (automatic),Two year
43,2,3,1,0074-HDKDG,Male,0,Yes,Yes,25,Yes,No,Yes,Yes,Yes,No,No,No,Yes,61.6,1611,No,DSL,Bank transfer (automatic),One year
44,1,2,1,0076-LVEPS,Male,0,No,Yes,29,No,No phone service,Yes,Yes,Yes,Yes,No,No,Yes,45.0,1242.45,No,DSL,Mailed check,Month-to-month
45,3,3,1,0078-XZMHT,Male,0,Yes,No,72,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,85.15,6316.2,No,DSL,Bank transfer (automatic),Two year
46,2,4,1,0080-EMYVY,Female,0,No,No,14,Yes,No,No,Yes,No,No,No,No,No,51.45,727.85,No,DSL,Credit card (automatic),One year
47,2,1,2,0080-OROZO,Female,0,No,No,35,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,99.25,3532,No,Fiber optic,Electronic check,One year
48,1,2,1,0082-LDZUE,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,Yes,44.3,44.3,No,DSL,Mailed check,Month-to-month
49,1,1,2,0082-OQIQY,Male,0,No,No,29,Yes,No,No,No,No,Yes,Yes,Yes,Yes,94.2,2607.6,No,Fiber optic,Electronic check,Month-to-month
50,2,1,1,0083-PIVIK,Male,0,No,No,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,81.25,5567.55,No,DSL,Electronic check,One year
51,1,4,2,0089-IIQKO,Female,0,Yes,Yes,39,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,99.95,3767.4,No,Fiber optic,Credit card (automatic),Month-to-month
52,1,1,2,0093-EXYQL,Female,1,No,No,40,Yes,No,No,No,No,No,Yes,Yes,Yes,91.55,3673.6,No,Fiber optic,Electronic check,Month-to-month
53,1,4,2,0093-XWZFY,Male,0,No,No,40,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,104.5,4036.85,Yes,Fiber optic,Credit card (automatic),Month-to-month
54,1,1,2,0094-OIFMO,Female,1,No,No,11,Yes,No,No,Yes,No,No,Yes,Yes,Yes,95.0,1120.3,Yes,Fiber optic,Electronic check,Month-to-month
55,1,1,1,0096-BXERS,Female,0,Yes,No,6,Yes,Yes,No,No,No,No,No,No,No,50.35,314.55,No,DSL,Electronic check,Month-to-month
56,1,2,1,0096-FCPUF,Male,0,No,No,30,Yes,Yes,Yes,No,No,No,No,Yes,Yes,64.5,1888.45,No,DSL,Mailed check,Month-to-month
57,1,1,3,0098-BOWSO,Male,0,No,No,27,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.4,529.8,No,None,Electronic check,Month-to-month
58,2,1,2,0100-DUVFC,Male,1,Yes,No,70,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,104.8,7308.95,No,Fiber optic,Electronic check,One year
59,2,3,2,0103-CSITQ,Female,0,Yes,No,57,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,109.4,6252.7,No,Fiber optic,Bank transfer (automatic),One year
60,2,4,1,0104-PPXDV,Male,0,Yes,No,58,Yes,No,No,No,Yes,No,No,No,No,50.3,2878.55,No,DSL,Credit card (automatic),One year
61,1,3,1,0106-GHRQR,Male,0,No,No,16,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,71.4,1212.1,No,DSL,Bank transfer (automatic),Month-to-month
62,3,1,2,0106-UGRDO,Female,0,Yes,No,69,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,116.0,8182.85,No,Fiber optic,Electronic check,Two year
63,1,1,3,0107-WESLM,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.85,19.85,Yes,None,Electronic check,Month-to-month
64,1,1,2,0107-YHINA,Male,0,No,Yes,1,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,99.75,99.75,Yes,Fiber optic,Electronic check,Month-to-month
65,1,2,2,0111-KLBQG,Male,1,Yes,Yes,32,Yes,No,No,Yes,No,No,Yes,Yes,Yes,93.95,2861.45,No,Fiber optic,Mailed check,Month-to-month
66,1,3,2,0112-QAWRZ,Male,0,Yes,Yes,16,Yes,Yes,No,No,Yes,No,Yes,No,Yes,90.8,1442.2,No,Fiber optic,Bank transfer (automatic),Month-to-month
67,2,1,1,0112-QWPNC,Male,0,Yes,No,49,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,84.35,4059.35,Yes,DSL,Electronic check,One year
68,3,3,1,0114-IGABW,Female,0,Yes,No,71,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,No,58.25,4145.9,No,DSL,Bank transfer (automatic),Two year
69,1,1,2,0114-PEGZZ,Female,0,No,No,33,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,107.55,3645.5,No,Fiber optic,Electronic check,Month-to-month
70,1,3,3,0114-RSRRW,Female,0,Yes,No,10,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.95,187.75,No,None,Bank transfer (automatic),Month-to-month
71,1,1,2,0115-TFERT,Male,0,Yes,No,21,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,111.2,2317.1,Yes,Fiber optic,Electronic check,Month-to-month
72,1,3,1,0117-LFRMW,Male,0,Yes,Yes,37,No,No phone service,Yes,Yes,Yes,No,No,No,No,40.2,1448.8,Yes,DSL,Bank transfer (automatic),Month-to-month
73,1,4,2,0118-JPNOY,Female,1,No,No,26,Yes,No,Yes,No,No,No,Yes,No,Yes,85.8,2193.65,No,Fiber optic,Credit card (automatic),Month-to-month
74,2,2,1,0121-SNYRK,Male,0,No,No,50,No,No phone service,Yes,No,No,Yes,No,No,Yes,35.4,1748.9,No,DSL,Mailed check,One year
75,1,1,2,0122-OAHPZ,Female,0,No,No,7,Yes,Yes,No,No,No,No,No,No,Yes,73.85,511.25,Yes,Fiber optic,Electronic check,Month-to-month
76,3,2,1,0123-CRBRT,Female,0,Yes,Yes,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,88.1,5526.75,No,DSL,Mailed check,Two year
77,1,1,2,0125-LZQXK,Male,0,No,No,15,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,101.35,1553.95,Yes,Fiber optic,Electronic check,Month-to-month
78,1,2,1,0128-MKWSG,Female,0,No,Yes,26,No,No phone service,Yes,No,No,Yes,No,Yes,No,45.8,1147,No,DSL,Mailed check,Month-to-month
79,1,1,2,0129-KPTWJ,Male,0,Yes,No,72,Yes,No,No,No,Yes,No,Yes,Yes,Yes,94.65,6747.35,No,Fiber optic,Electronic check,Month-to-month
80,2,3,3,0129-QMPDR,Male,0,Yes,Yes,44,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,20.5,865.05,No,None,Bank transfer (automatic),One year
81,1,4,2,0130-SXOUN,Male,0,No,No,66,Yes,Yes,No,Yes,No,No,No,Yes,No,89.4,5976.9,No,Fiber optic,Credit card (automatic),Month-to-month
82,1,1,2,0133-BMFZO,Female,0,No,No,2,Yes,No,Yes,Yes,No,Yes,No,No,Yes,86.25,181.65,Yes,Fiber optic,Electronic check,Month-to-month
83,2,3,1,0134-XWXCE,Female,1,No,No,44,Yes,No,No,No,Yes,Yes,Yes,Yes,No,74.85,3268.05,No,DSL,Bank transfer (automatic),One year
84,1,3,2,0135-NMXAP,Female,0,No,No,12,Yes,Yes,No,Yes,No,No,Yes,No,Yes,89.75,1052.4,Yes,Fiber optic,Bank transfer (automatic),Month-to-month
85,3,1,2,0136-IFMYD,Male,1,Yes,No,69,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,109.95,7634.25,No,Fiber optic,Electronic check,Two year
86,1,2,2,0137-OCGAB,Female,0,No,No,1,Yes,Yes,No,Yes,No,No,No,No,Yes,80.2,80.2,Yes,Fiber optic,Mailed check,Month-to-month
87,1,2,3,0137-UDEUO,Female,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.85,63.75,Yes,None,Mailed check,Month-to-month
88,1,1,2,0139-IVFJG,Female,0,Yes,No,2,Yes,No,Yes,Yes,No,No,Yes,No,No,90.35,190.5,No,Fiber optic,Electronic check,Month-to-month
89,1,3,2,0141-YEAYS,Female,1,No,No,27,Yes,Yes,No,Yes,Yes,No,No,No,Yes,86.45,2401.05,No,Fiber optic,Bank transfer (automatic),Month-to-month
90,1,1,3,0142-GVYSN,Male,0,No,No,26,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,20.3,511.25,No,None,Electronic check,Month-to-month
91,1,1,2,0147-ESWWR,Female,1,Yes,No,39,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,101.25,3949.15,No,Fiber optic,Electronic check,Month-to-month
92,1,3,2,0148-DCDOS,Male,0,No,No,25,Yes,Yes,No,No,No,No,Yes,Yes,Yes,94.7,2362.1,Yes,Fiber optic,Bank transfer (automatic),Month-to-month
93,1,2,2,0151-ONTOV,Female,0,No,No,1,Yes,No,No,No,No,No,No,No,No,70.9,70.9,Yes,Fiber optic,Mailed check,Month-to-month
94,1,1,1,0156-FVPTA,Male,0,Yes,No,22,Yes,No,Yes,No,No,Yes,No,No,Yes,54.2,1152.7,Yes,DSL,Electronic check,Month-to-month
95,3,1,2,0164-APGRB,Female,0,No,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,114.9,8496.7,No,Fiber optic,Electronic check,Two year
96,3,3,3,0164-XAIRP,Female,0,No,No,24,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.55,470.2,No,None,Bank transfer (automatic),Two year
97,1,1,2,0168-XZKBB,Female,0,Yes,No,19,Yes,Yes,No,No,No,No,Yes,No,Yes,86.85,1564.4,No,Fiber optic,Electronic check,Month-to-month
98,3,4,3,0174-QRVVY,Male,0,Yes,Yes,71,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.35,1847.55,No,None,Credit card (automatic),Two year
99,1,3,2,0177-PXBAT,Male,1,Yes,No,33,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,109.9,3694.7,No,Fiber optic,Bank transfer (automatic),Month-to-month
100,1,2,3,0178-CIIKR,Female,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.95,58,No,None,Mailed check,Month-to-month
101,1,1,2,0178-SZBHO,Male,0,Yes,Yes,47,Yes,Yes,No,Yes,No,No,Yes,No,No,87.2,4017.45,No,Fiber optic,Electronic check,Month-to-month
102,3,2,2,0181-RITDD,Male,0,Yes,Yes,62,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,108.15,6825.65,No,Fiber optic,Mailed check,Two year
103,2,3,2,0186-CAERR,Male,0,No,No,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,116.3,8309.55,No,Fiber optic,Bank transfer (automatic),One year
104,1,1,2,0187-QSXOE,Male,1,Yes,No,7,Yes,No,No,No,No,No,Yes,Yes,Yes,89.0,605.45,No,Fiber optic,Electronic check,Month-to-month
105,1,2,2,0187-WZNAB,Female,0,Yes,Yes,27,Yes,No,Yes,No,No,No,No,No,No,74.4,1972.35,No,Fiber optic,Mailed check,Month-to-month
106,1,2,3,0188-GWFLE,Male,0,No,No,2,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.05,33.7,No,None,Mailed check,Month-to-month
107,3,3,1,0191-EQUUH,Female,0,No,Yes,25,No,No phone service,Yes,No,No,Yes,No,No,No,35.05,844.45,No,DSL,Bank transfer (automatic),Two year
108,1,1,1,0191-ZHSKZ,Male,1,No,No,30,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,74.75,2111.3,No,DSL,Electronic check,Month-to-month
109,2,4,2,0193-ESZXP,Female,1,Yes,No,58,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,105.5,6205.5,Yes,Fiber optic,Credit card (automatic),One year
110,1,1,2,0195-IESCP,Male,0,Yes,No,10,Yes,Yes,No,No,No,No,No,Yes,Yes,85.25,855.3,Yes,Fiber optic,Electronic check,Month-to-month
111,1,4,2,0196-JTUQI,Female,0,No,No,9,Yes,Yes,No,No,No,No,No,No,Yes,75.2,633.85,No,Fiber optic,Credit card (automatic),Month-to-month
112,1,1,2,0196-VULGZ,Female,1,Yes,No,6,Yes,Yes,No,No,No,No,No,Yes,Yes,84.35,474.9,Yes,Fiber optic,Electronic check,Month-to-month
113,2,3,2,0197-PNKNK,Female,0,Yes,Yes,69,Yes,Yes,Yes,No,Yes,No,No,No,No,84.45,5848.6,No,Fiber optic,Bank transfer (automatic),One year
114,3,3,2,0201-MIBOL,Female,1,No,No,66,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,102.4,6471.85,No,Fiber optic,Bank transfer (automatic),Two year
115,2,4,2,0201-OAMXR,Female,0,No,No,70,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,115.55,8127.6,Yes,Fiber optic,Credit card (automatic),One year
116,2,3,3,0203-HHYIJ,Male,0,No,No,25,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.3,676.35,Yes,None,Bank transfer (automatic),One year
117,3,2,3,0206-OYVOC,Female,0,Yes,Yes,46,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.25,864.2,No,None,Mailed check,Two year
118,2,2,2,0206-TBWLC,Female,0,Yes,No,54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,114.65,6049.5,No,Fiber optic,Mailed check,One year
119,1,1,2,0207-MDKNV,Female,0,No,No,15,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,105.1,1582.75,Yes,Fiber optic,Electronic check,Month-to-month
120,1,3,3,0208-BPQEJ,Female,0,Yes,Yes,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.4,198.1,No,None,Bank transfer (automatic),Month-to-month
121,1,1,1,0212-ISBBF,Female,0,No,No,22,No,No phone service,No,Yes,No,No,Yes,Yes,Yes,50.35,1098.85,No,DSL,Electronic check,Month-to-month
122,3,3,1,0214-JHPFW,Female,0,Yes,No,70,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,No,57.8,4039.3,No,DSL,Bank transfer (automatic),Two year
123,1,4,2,0215-BQKGS,Male,0,No,No,30,Yes,No,Yes,Yes,Yes,No,No,No,Yes,84.3,2438.6,No,Fiber optic,Credit card (automatic),Month-to-month
124,2,3,2,0218-QNVAS,Male,0,Yes,Yes,71,Yes,Yes,No,Yes,No,No,Yes,Yes,No,100.55,7113.75,No,Fiber optic,Bank transfer (automatic),One year
125,2,4,3,0219-QAERP,Male,0,Yes,No,30,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.8,576.65,No,None,Credit card (automatic),One year
126,1,3,2,0219-YTZUE,Male,0,Yes,Yes,4,Yes,Yes,No,Yes,Yes,No,No,No,Yes,84.8,371.9,Yes,Fiber optic,Bank transfer (automatic),Month-to-month
127,1,1,2,0220-EBGCE,Male,0,No,No,2,Yes,No,No,No,Yes,No,No,Yes,Yes,85.85,167.3,Yes,Fiber optic,Electronic check,Month-to-month
128,2,3,3,0221-NAUXK,Male,0,No,Yes,10,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.95,219.5,No,None,Bank transfer (automatic),One year
129,1,1,2,0221-WMXNQ,Male,1,No,No,4,Yes,No,Yes,No,No,No,No,No,No,75.35,273.4,No,Fiber optic,Electronic check,Month-to-month
130,1,4,1,0222-CNVPT,Male,1,No,No,52,No,No phone service,Yes,No,No,No,Yes,Yes,Yes,48.8,2555.05,No,DSL,Credit card (automatic),Month-to-month
131,1,1,1,0224-HJAPT,Male,0,No,No,5,Yes,Yes,No,No,No,No,No,No,No,47.15,223.15,Yes,DSL,Electronic check,Month-to-month
132,3,2,3,0224-NIJLP,Male,0,Yes,Yes,8,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.15,165.5,No,None,Mailed check,Two year
133,1,1,1,0224-RLWWD,Female,1,No,No,2,Yes,No,No,No,No,No,No,No,Yes,44.3,89.3,No,DSL,Electronic check,Month-to-month
134,1,1,2,0225-ZORZP,Male,0,No,No,3,Yes,No,No,Yes,No,No,No,Yes,No,84.3,235.05,No,Fiber optic,Electronic check,Month-to-month
135,1,1,1,0228-MAUWC,Male,0,No,No,19,Yes,Yes,No,No,Yes,Yes,No,No,No,59.55,1144.6,No,DSL,Electronic check,Month-to-month
136,3,3,1,0229-LFJAF,Male,0,No,No,72,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,69.65,4908.25,No,DSL,Bank transfer (automatic),Two year
137,2,3,1,0230-UBYPQ,Male,1,Yes,No,63,No,No phone service,Yes,No,No,Yes,No,No,No,36.1,2298.9,No,DSL,Bank transfer (automatic),One year
138,3,3,1,0230-WEQUW,Male,0,Yes,No,66,No,No phone service,Yes,Yes,Yes,Yes,Yes,No,Yes,56.6,3789.2,No,DSL,Bank transfer (automatic),Two year
139,1,1,2,0231-LXVAP,Male,0,No,No,1,Yes,No,No,No,No,Yes,No,No,Yes,75.9,75.9,Yes,Fiber optic,Electronic check,Month-to-month
140,2,3,2,0233-FTHAV,Female,0,No,No,60,Yes,Yes,No,No,Yes,No,No,No,Yes,79.2,4765,No,Fiber optic,Bank transfer (automatic),One year
141,2,4,1,0234-TEVTT,Female,0,Yes,Yes,48,No,No phone service,Yes,No,Yes,No,No,Yes,No,45.0,2196.3,No,DSL,Credit card (automatic),One year
142,1,4,2,0235-KGSLC,Female,0,No,No,1,Yes,No,No,No,Yes,No,Yes,No,Yes,85.55,85.55,Yes,Fiber optic,Credit card (automatic),Month-to-month
143,1,1,2,0236-HFWSV,Male,0,No,No,15,Yes,Yes,No,No,No,No,Yes,Yes,Yes,93.35,1444.65,Yes,Fiber optic,Electronic check,Month-to-month
144,1,3,2,0237-YFUTL,Female,0,Yes,No,50,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,109.65,5405.8,No,Fiber optic,Bank transfer (automatic),Month-to-month
145,3,4,1,0238-WHBIQ,Male,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,89.7,6339.3,No,DSL,Credit card (automatic),Two year
146,1,2,2,0239-OXEXL,Female,0,No,No,46,Yes,Yes,Yes,Yes,No,No,No,No,No,84.25,3847.6,No,Fiber optic,Mailed check,Month-to-month
147,3,3,1,0244-LGNFY,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,92.65,6733,No,DSL,Bank transfer (automatic),Two year
148,1,2,3,0247-SLUJI,Male,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.7,19.7,No,None,Mailed check,Month-to-month
149,1,1,1,0248-IPDFW,Female,0,No,No,1,Yes,Yes,No,No,No,No,No,No,Yes,50.1,50.1,No,DSL,Electronic check,Month-to-month
150,3,3,2,0248-PGHBZ,Female,1,No,No,67,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,92.45,6140.85,No,Fiber optic,Bank transfer (automatic),Two year
151,3,1,1,0253-ZTEOB,Female,0,Yes,Yes,48,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,79.65,3870.3,No,DSL,Electronic check,Two year
152,3,1,2,0254-FNMCI,Female,0,No,No,72,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,109.9,7624.2,No,Fiber optic,Electronic check,Two year
